val_acc,test_acc,strategy,scope,width,damp
83.4,77.55,toeplitz,27.0,6.0,0.1
82.91,77.6,converged,27.0,8.0,0.1
82.82,77.39,toeplitz,45.0,3.0,0.2
82.78,77.71,converged,45.0,10.0,0.14
82.75,78.04,converged,45.0,8.0,0.16
82.72,78.05,converged,9.0,8.0,0.2
82.63,77.55,converged,27.0,3.0,0.1
82.6,77.84,converged,27.0,10.0,0.14
82.56,77.29,converged,45.0,3.0,0.2
82.46,77.1,toeplitz,27.0,3.0,0.1
82.46,78.36,converged,45.0,4.0,0.2
82.45,78.18,toeplitz,9.0,10.0,0.16
82.45,77.04,toeplitz,27.0,8.0,0.1
82.4,77.34,converged,63.0,4.0,0.1
82.35,77.46,toeplitz,45.0,4.0,0.2
82.35,77.62,toeplitz,63.0,10.0,0.1
82.33,77.17,converged,9.0,3.0,0.1
82.33,77.27,toeplitz,9.0,3.0,0.1
82.32,76.7,converged,9.0,6.0,0.12
82.31,77.33,converged,45.0,4.0,0.1
82.27,77.14,toeplitz,9.0,4.0,0.16
82.23,77.61,converged,63.0,8.0,0.2
82.22,77.54,toeplitz,27.0,10.0,0.1
82.22,78.08,converged,63.0,8.0,0.16
82.2,77.63,converged,45.0,10.0,0.2
82.2,77.46,converged,27.0,6.0,0.1
82.19,77.55,converged,9.0,4.0,0.16
82.18,77.07,toeplitz,63.0,4.0,0.1
82.15,76.39,toeplitz,63.0,3.0,0.12
82.13,77.62,toeplitz,9.0,6.0,0.12
82.11,76.49,toeplitz,9.0,10.0,0.2
82.08,78.21,toeplitz,9.0,3.0,0.12
82.08,77.4,converged,27.0,3.0,0.2
82.08,77.24,toeplitz,27.0,6.0,0.2
82.03,76.91,toeplitz,45.0,10.0,0.16
82.0,77.02,converged,27.0,6.0,0.2
81.99,77.3,converged,9.0,10.0,0.2
81.93,76.95,toeplitz,45.0,6.0,0.14
81.92,77.11,toeplitz,45.0,4.0,0.1
81.9,77.47,converged,27.0,8.0,0.14
81.81,76.36,toeplitz,27.0,3.0,0.2
81.8,76.81,converged,45.0,6.0,0.14
81.76,76.64,converged,9.0,10.0,0.16
81.76,77.05,converged,9.0,8.0,0.14
81.71,76.89,converged,63.0,3.0,0.12
81.71,77.97,converged,9.0,3.0,0.12
81.7,78.41,toeplitz,9.0,10.0,0.14
81.69,77.42,converged,45.0,10.0,0.16
81.67,76.83,converged,63.0,10.0,0.1
81.67,76.88,converged,27.0,10.0,0.1
81.65,77.33,toeplitz,45.0,8.0,0.16
81.53,77.49,toeplitz,9.0,8.0,0.2
81.5,76.88,toeplitz,27.0,8.0,0.14
81.38,76.19,toeplitz,9.0,8.0,0.14
81.33,76.17,converged,9.0,10.0,0.14
81.05,76.97,toeplitz,27.0,10.0,0.14
80.86,76.41,toeplitz,63.0,8.0,0.16
80.62,75.59,toeplitz,45.0,10.0,0.14
80.44,75.7,toeplitz,45.0,10.0,0.2
79.6,76.01,toeplitz,63.0,8.0,0.2
